Місцевий час в Харкові (аеропорт),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
06.07.2017 12:00,21.7,747.8,761.3,-0.4,38,"Вітер, що дме із заходу-південного заходу",4,,,"90  або більше, але не 100 %", ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",70 – 80%.,1000-1500,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,6.7,,,,,,
06.07.2017 09:00,19.7,748.2,761.8,0.0,48,"Вітер, що дме з південного заходу",5,,,40%., ,,,10.4,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",40%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.2,,,,,,
06.07.2017 06:00,11.8,748.2,762.1,0.2,78,"Вітер, що дме із заходу-південного заходу",2,,,20–30%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.1,,,,,,
06.07.2017 03:00,11.8,748.0,762.0,-0.2,73,"Штиль, безвітря",0,,,хмар немає, ,,,,,,,,,,10.0,7.0,,,,,,
06.07.2017 00:00,14.4,748.2,762.0,0.6,63,"Вітер, що дме із заходу",1,,,хмар немає, ,,,,,,,,,,10.0,7.3,,,,,,
05.07.2017 21:00,18.0,747.6,761.2,1.2,48,"Вітер, що дме із заходу-північного заходу",3,,,20–30%., ,,,,22.6,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",20–30%.,"2500 або більше, або хмар немає.","Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,6.8,,,,,,
05.07.2017 18:00,21.4,746.4,759.8,0.4,35,"Вітер, що дме із заходу-північного заходу",7,,,50%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",50%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,5.4,,,,,,
05.07.2017 15:00,21.6,746.0,759.4,0.5,36,"Вітер, що дме із заходу",7,,,50%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",50%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,5.7,,,,,,
05.07.2017 12:00,20.4,745.5,759.0,0.5,46,"Вітер, що дме із заходу-північного заходу",8,,,70 – 80%., ,,,,,"Купчасті середні або потужні або разом з купчастими розірваними, або з купчастими плоскими, або з шарувато-купчастими, або без них; основи всіх цих хмар розташовані на одному рівні.",70 – 80%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,8.2,,,,,,
05.07.2017 09:00,18.6,745.0,758.5,0.0,58,"Вітер, що дме із заходу",4,,,20–30%., ,,,11.5,,"Купчасті плоскі або купчасті розірвані, або ті та інші разом, не пов'язані з хмарами поганої погоди.",20–30%.,1000-1500,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,10.2,Сліди опадів,12,,,,
05.07.2017 06:00,12.5,745.0,758.9,0.3,80,"Вітер, що дме із заходу",2,,,50%., ,,,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",50%.,"2500 або більше, або хмар немає.",Високо-купчасті баштовидні або пластівчасті.,"Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,9.1,,,,,,
05.07.2017 03:00,13.1,744.7,758.5,0.0,88,"Вітер, що дме із заходу",3,,,20–30%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,11.2,Сліди опадів,6,,,,
05.07.2017 00:00,15.5,744.7,758.3,0.9,81,"Вітер, що дме із заходу",2,,,40%.,Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом однієї частини відповідного періоду і половину або менш протягом іншої частини періоду.,,,"Шарувато-купчастих, шаруватих, купчастих або купчасто-дощових хмар немає.",хмар немає,"2500 або більше, або хмар немає.","Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перисті волокнисті, іноді кігтевидні, не поширюються по небу.",10.0,12.2,,,,,,
04.07.2017 21:00,17.4,743.8,757.3,0.5,81,"Вітер, що дме із заходу-північного заходу",2,,,"90  або більше, але не 100 %",Зливовий (і) дощ (і) слабкий (і) у термін спостереження або за останню годину. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,20.2,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.","90  або більше, але не 100 %",600-1000,"Високо-купчастих, високо-шаруватих або шарувато-дощових хмар немає.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.1,0.3,12,,,,
04.07.2017 18:00,18.6,743.3,756.8,0.0,75,"Вітер, що дме з півночі",3,,,"90  або більше, але не 100 %",Стан неба в загальному не змінився. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Шарувато-купчасті, що утворилися не з купчастих.",50%.,600-1000,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,14.1,,,,,,
04.07.2017 15:00,18.0,743.3,756.8,-0.8,77,"Вітер, що дме з півночі-північного заходу",5,,,"90  або більше, але не 100 %",Зливовий (і) дощ (і) слабкий (і) у термін спостереження або за останню годину. ,Злива (зливи).,Хмари покривали більше половини неба протягом всього відповідного періоду.,,,"Купчасто-дощові волокнисті (часто з ковадлом), або з купчасто-дощовими лисими, купчастими, шаруватими, розірвано-дощовими, або без них.",70 – 80%.,300-600,"Високо-купчасті прозорі, розташовані на одному рівні.","Перистих, перисто-купчастих або перисто-шаруватих хмар немає.",10.0,13.8,Сліди опадів,6,,,,
